SAMPLE_CODE,Rule,Rule_encoded,PC1,PC2,PC3,PC4
106,Normal,2,4.42122815478053,2.0601037145710945,-1.7879335730397088,1.1084590486803363
83,Normal,2,4.079436877137371,-1.2561098365248866,-0.23292759217067924,0.4228361437470676
96,Normal,2,7.464644497740543,8.669824117195697,1.3995368674244697,-1.6091308435265086
57,Normal,2,9.508654453475536,3.196263351893509,1.3411373607167312,-0.9340966861066913
147,Normal,2,4.804728140687901,-1.8294049525228009,1.1280927312543576,0.25044743042315765
136,Normal,2,-5.559270687248667,-0.9207557324596949,-0.5444708364640058,-0.3117086772028212
148,Normal,2,7.87177588562785,-1.7719354595993395,1.6464807252920137,0.44600105351496433
149,Normal,2,4.624983961328251,-2.3217642946261576,1.3974008341582633,0.08112598440149006
87,Normal,2,-2.563127745979258,-0.5841441464398941,0.8724026840640945,-0.07727980430479713
88,Normal,2,-5.76326455669915,0.15818242930794238,0.19737102789404035,0.3454645901062233
85,Normal,2,-3.3583567093232656,-1.9175946839465423,1.764267399931441,-0.20771858546856897
52,Normal,2,-1.6300114313153176,0.13690383224364494,-0.06999349810998566,0.23370863272773207
54,Normal,2,1.2452461236100634,1.5724075352559674,0.34693513050757907,-0.40836062438395726
119,Normal,2,-6.401909025015468,0.2969393911512834,-0.9324221443681416,-0.19593745734908133
142,Normal,2,-3.674253699326879,-0.6258169918459792,0.20108117954564284,-0.09830000686708165
75,Normal,2,3.2235962938951226,1.7248938651021315,0.3674913901657071,0.9802932043944577
97,Normal,2,-0.45944920101529113,3.9899113923829543,0.3462805256048452,0.5541714214736674
137,Normal,2,-2.0402813263146697,0.3336867489328602,0.24409580828859576,-0.20391617876663862
134,Normal,2,-12.94452660550706,-0.61818691296265,-0.6112864345957933,-0.4943998216969495
51,Normal,2,-0.05396927788334868,6.713410028459356,-0.2767984831657858,-0.8438949283682197
47,Normal,2,-1.4580537246285359,2.608288014969516,-0.028538792295969048,-0.08265984837066753
118,Normal,2,-0.236308227631526,-1.193712362158208,-0.576438253390159,-0.05455409825771581
56,Normal,2,-9.348935089930286,5.032034232521382,1.0190080070937428,-1.5288901297463064
98,Normal,2,-0.41034467169141303,3.6521873612266607,0.16350187833129257,0.21056041832853573
53,Normal,2,3.2647636411957452,3.2350772001142887,0.6454739905878552,-0.42911043308907615
69,Normal,2,2.8665158867919502,0.7532005585505367,-1.654693165736213,1.5549432566098522
117,Normal,2,-4.9736853247402575,0.12986683633082952,-0.9641510583267441,0.3599742484295853
123,Normal,2,0.4897712072843483,7.234414909231855,-0.7145979747350941,-1.4879186722537523
64,Normal,2,0.4594128231947609,0.16002655566121415,-1.4070484520946513,0.9381748455067923
58,Normal,2,5.038727639234618,-0.7988188070436739,1.086134619848703,0.09673797748310657
