SAMPLE_CODE,Rule,Rule_encoded,PC1,PC2,PC3
76,Normal,2,-2.593414235845466,-0.28246534149428837,-1.062620730982597
68,Normal,2,-0.6415152616059087,0.5789451618007567,-1.6078990170440834
77,Normal,2,3.3279642217273224,0.35892712989929826,3.8453530321438345
146,Normal,2,-1.158383811383874,-1.5608609037945098,1.2421907852771945
70,Normal,2,1.9969960517673273,0.021829561020342503,-2.6002792157814283
142,Normal,2,3.7932695550786977,-0.15640992247723975,0.27438668798541155
147,Normal,2,-2.6672533336237048,-2.6722825193999533,1.0605814448130795
54,Normal,2,-0.6705892334936843,0.988232134317443,0.22311733205394327
57,Normal,2,-7.7107342644608385,1.0937456980003228,0.9735469574289876
71,Normal,2,-0.6500475537577057,-0.9207636233317962,-0.6469037289867164
124,Normal,2,-5.26929737676798,-1.6228379128426522,-2.499138214247171
159,Normal,2,3.538682545594135,-0.6370826585665742,0.43673161579835756
51,Normal,2,-0.8717613393964406,5.796378291193072,-0.5904626477475495
35,Normal,2,6.377428002572073,1.2693908012379869,-0.3274231439781689
122,Normal,2,-0.6200282510617593,-2.955938787235708,0.09593978490619405
129,Normal,2,-0.06766979238758329,0.8001150574122861,0.17260063600958855
72,Normal,2,-1.7308053700374346,-0.9256233407060178,-1.653678657623411
73,Normal,2,-0.7941467168857232,-0.3592440255434822,0.6117667680631215
83,Normal,2,-2.2309035813160563,-2.1197638225828106,-0.2730199891724877
89,Normal,2,0.8091339670545121,-1.902552871395899,0.5379637849427634
99,Normal,2,2.473901627849801,2.473659658768775,0.16489672717311232
148,Normal,2,-5.15906275432361,-3.157043234082214,1.4975177979186496
61,Normal,2,1.7467533462299636,0.04002930378290789,-0.6139858255558632
62,Normal,2,3.5808799385066292,-0.9772104110364529,-0.6397783923552939
67,Normal,2,-2.8332828277280746,1.0316176750779023,-1.111402041926018
36,Normal,2,3.4879309494326862,-0.8049944686622796,-0.17474161698455842
121,Normal,2,3.503379269305362,1.0289870750595673,1.05699794824919
149,Normal,2,-2.400993217278804,-3.0509551831697035,1.3350328719192484
53,Normal,2,-2.67028662397314,2.1477198379924416,0.3964051320829196
138,Normal,2,-0.675606250717863,-0.7710344427444178,0.2548249426728857
44,Normal,2,3.2867916851657446,-0.299603660646808,-0.9602646773112964
63,Normal,2,-2.15782655273997,0.2954261270399589,-0.33894897384214706
79,Normal,2,-3.9640030921534524,0.9548827964352248,-1.3871830005804326
42,Normal,2,4.45450343139736,0.24103257703073933,-0.902668296267968
55,Normal,2,1.006961192711978,1.6845969686177586,0.1425182663983733
85,Normal,2,3.9087400113025015,-1.2515590425470475,1.7939486852053852
88,Normal,2,5.30201985970996,0.8875953073665429,0.22043840467153045
111,Normal,2,0.28786322745047643,-1.4872431559501695,-1.8195690103652122
134,Normal,2,11.245151762875643,1.4620537525784383,-0.3433031175406395
143,Normal,2,4.46667691244304,2.318408625626518,-0.24367269572977043
157,Normal,2,-1.8615051058795624,-3.6935348344787355,1.0375123684113712
170,Normal,2,1.9575020533255842,-0.16993050633807452,-1.058583407958952
37,Normal,2,0.4691970916426188,-1.2450600862432593,-0.005740812003541739
56,Normal,2,6.982475179275196,6.035283435623349,0.8964261138373263
66,Normal,2,-2.254785937615829,1.7842520954459211,-0.9259423407410026
82,Normal,2,-0.14426882647944791,2.6584672296057787,-0.18046224113246775
164,Normal,2,0.7387688659438282,-1.3151567921929408,1.048298464699703
27,Normal,2,-0.29710435880848385,-2.411187206353566,0.08029898171939948
59,Normal,2,-4.399425353258042,-2.429516745367832,1.1184225632550224
168,Normal,2,4.774433638071751,-0.33250602892055214,-1.8561416196370404
81,Normal,2,2.821996464165589,-0.3696594865334577,-0.10633345966403863
144,Normal,2,0.19909945247874966,-0.9286706592919438,0.10603037767906677
46,Normal,2,5.436816784213831,1.0701362014306715,0.5691923726537219
